last,first,instructor_avg,course_avg,overall_avg,courses,confidence
Wood,Antony,4.21,4.13,4.17,"['ARCH497', 'ARCH418', 'ARCH593', 'ARCH419']",5
Woodhouse,David,3.99,4.06,4.025,"['ARCH417', 'ARCH418']",10
Wooller,Kirk,2.77,2.81,2.79,['ARCH501'],1
Wu,Benxin,4.21,4.18,4.195,"['MMAE546', 'MMAE201', 'MMAE306', 'MMAE202', 'MMAE585', 'MMAE200', 'MMAE323', 'MMAE100', 'MMAE232']",17
Wu,Tao,3.93,4.23,4.08,"['MBA509', 'MSF505', 'MSF545', 'BUS458', 'MSF525']",13
Xiang,Jialing,4.57,4.61,4.59,"['BIOL445', 'BIOL545', 'BIOL544', 'BIOL533', 'BIOL522', 'BIOL446', 'BIOL520']",16
Xie,Xiaoxia,4.17,3.96,4.0649999999999995,"['MATH252', 'MATH488']",5
Xu,Yang,3.88,4.09,3.985,"['ECE527', 'ECE425', 'ECE525', 'ECE597', 'ECE312']",8
Yagoobi,Jamal,4.56,4.49,4.525,"['MMAE433', 'MMAE525']",4
Yang,Yongyi,4.6,4.52,4.56,['ECE505'],6
Yap,Bonnie,4.58,4.16,4.37,['PSYC222'],1
Yasmis-Speroni,Firuzan,3.55,3.84,3.695,"['CAE572', 'CAE471']",4
Yee,Wai Gen,3.86,3.9,3.88,"['CS100', 'IPRO497', 'CS525']",6
Yetik,Imam,4.18,4.23,4.205,"['ECE436', 'ECE569', 'ECE507', 'ECE567']",9
Yetken,Carol,2.22,1.67,1.945,['LA516'],1
Yimer,Asmamaw,3.21,3.61,3.41,['MATH251'],3
Young,Crystal,4.6,4.33,4.465,['PSYC221'],1
Young,Michael,4.37,4.21,4.29,"['PSYC540', 'PSYC545', 'PSYC380', 'PSYC507', 'PSYC204', 'PSYC533', 'PSYC536', 'IPRO497']",17
Yurko-Nelson,Amy,3.77,3.09,3.4299999999999997,['ARCH523'],3
Zaher,Lisa,,,,['AAH380'],
Zalc,Jeffrey,,,,['CHE496'],
Zarse,Thaddeus,4.84,4.59,4.715,"['ARCH305', 'ARCH306']",2
Zasadzinski,John,4.53,4.2,4.365,"['PHYS427', 'PHYS221', 'PHYS100', 'PHYS123']",14
